"it seems that some of us share the same feeling: something needs to be improved in terms of ""ambiance"" @ iP but also globaly",ambiance
"Overpowering air fresher smell in restrooms

The automatic air fresheners in all the bathrooms have been changed.  The smell is much more intense.
Some of us myself included are sensitive to chemicals and perfumes. Breathing these chemicals tends to causes us to get sick. sore throats and illness.

Currently the private rest rooms are unusable for me and the larger rest rooms are barley usable.

I suspect that these automatic air fresheners are rated for much larger square footage rooms and should not be used in the small restrooms here.

Your employees should be able the restroom in the office. This is basic.",bathroom
The bathrooms have these new horribly heavy deodorizing machine. It is awful to not be able to go the any bathroom without being chemically assaulted. They don't seems to get it that some people here are very sensitive to chemicals and perfumes. The deodorizers that were in the bathrooms before were perfectly fine. Why they were changed is a mystery.,bathroom
The male toilets are disgusting! Some people don't know how to flush after they did their buiness.,bathroom
Too many distractions here. Too crowded,crowded
Too many distractions,distractions
"Nothing my manager can do, lots of workplace distractions from our working space.",distractions
It can be very distracting while enabling communication,distractions
"Don't have enough time to myself, people often come up.",distractions
The 2nd floor is too distracting when there are all day meetings training in the training room.,distractions
the current environment stifles creativity and can be distracting. looking forward to changing floors soon.,distractions
Lots of distractions on the 2nd floor,distractions
having 5 people on the same floor on the same call and all on speaker phone is INCREDIBLY distracting. It's strange... don't we have conference rooms that can be turned into war rooms for this kind of thing?,"distractions, noise"
sometimes it's a little too distracting having so many people in my work space waiting for meetings or having meetings directly around me. loud conversations. phone calls. etc.,"distractions, noise"
To many distractions due to open workspace.,"distractions, office layout"
Some broken kitchen tools and other equipment that is not being replaced. Lack in communication on infrastructure.,equipment
"Computer, software, and internet issues constantly - especially this week!",equipment
I do not have a Desk or a docking station.,equipment
"The Quebec city office workspace need some love. Outside of the new room, everything seems old. Old cubicles and Shakira and Pink poster dating back from the early 2000's. Hard to create hype about that office when we are competing against business that have brand new awesome looking office like Ubisoft, Mirego, Activision, etc.

By the way, why does the employee have to pay for the bus pass but the parking is paid by TM? That make no sense...",equipment
"The quality of monitors is a bit less than stellar, so when dealing with graphics sometimes colors don't show so well. It's livable, 'tis the reason for the mid-range vote.",equipment
"more fruit in the kitchen, please!",food
More coffee,food
hopeful for the restock,food
I need snacks....  Can't work with a hungry stomach and low blood sugar. ;),food
