"One manager give me support & clear objectives, the other ones doesn't at all","wants support, unclear objectives"
bad bad manager,bad manager
"Not having a boss that understands recruiting or recruiter's pain points leave me with a boss who doesn't and can't fight for tech recruiters. We have many pointless morning meetings with no real objective. I can't think of one good thing that came out of those meetings. In the past, we used to get updates from Mike and Moose. Now, we have a middleman who filters information which often delays overall function, also, the flow of information is not reliable which leads all the recruiters to go back to Moose at the end anyway. This makes things more bureaucratic. Also, my manager's style is very old school dogmatic.",buracratic
nothing productive comes out of meeting. more of report collection.,buracratic
"I often feel like details are glossed over or left out when tasks are delegated to me. When I follow up with my manager with questions, I feel that I am bothering them or causing a hassle.",communication
no time to see each other for the moment!,communication
I feel like expectations are expressed after they become a problem.,communication
"It had been a tough few weeks, but getting better. I do wish my manager had better communication, and not only when I ask specific questions about what I am supposed to be doing.",communication
Better communication needed.,communication
"I was disappointed in
lack of communication around payroll delay and updates thereafter around when it would be resolved.",communication
More communication instead of abrupt announcements and actually knowing what we are able to do.,communication
More communication,communication
"I don't really feel like management knows what I'm working on or what's happening on my day to day planning. It might be a good idea to bring dialog back between each part of the team. I really liked the vibe we had during the Ouibus summer, everyone was talking to everyone, and we really feel involved in something.",communication
I felt discouraged this week that there has been no progress in improving communication after Anita told me  on Monday about the 'up-level' project and forwarded an email where I read that Rich is point person for this project.
------
Point Person:
  A person who speaks for another or for a group
  Related words: front, promoter, shill; communicator, sayer, talker; agent, ...
------
As both my supervisor and as point person, I would hope to hear about this first and first-hand from Rich. I'm curious about the backstory and genesis! I want to hear Rich describe it with enthusiasm!  I would expect Rich
to enlist my support (and that of his other direct reports) and challenge us to do our best to make this a
successful three days. I want to know all these details so I can convey them to my team with enthusiasm and answer their questions...but there has been nothing aside from Anita's remarks and email.
------,communication
My manager does not show interest to know anything about me.or how I am doing work wise or at personal level. I am fully supported and get clear objectives from another manager.  I wish I could report directly to the manager I actually work for.,communication
not enough communication between sales & production,communication
waiting to have all the pieces before sharing the process of how to do things.,communication
Communication could be clearer and more concise.,communication
no communication and micromanaged to the point that it hinders my job,"communication , micromanaged"
"God no. My direct manager is very open about the fact that she doesn't feel empowered to even ask for change, much less push for it. To me that isn't a healthy place to be and it leaves me high and dry often. I'm often told to suck it up and just do what everyone else is doing, even though I strongly feel like it isn't a productive and efficient way to work. She also doesn't have any insight into what a person in my role does. She doesn't understand my job and is responsible for managing me in it? It's a difficult situation.",competence
"My manager should not be a people manager. This individual is a solid contributor to the organization, but lacks people and management skills.",competence
"There is a little too much overlap.  I literally type out emails as he she dictates them. Waste of time and resources, not to mention condescending",condesending
"completely passive aggressive, non directional, and does not represent the culture of company!!!!",culture
"I think he tries to create a competitive environment and it doesn't encourage us to work as a team.",culture
"In my opinion, soft skills are the most important skills we can develop as leaders; a study by google is succinctly summarized here:; Shigeki aside, the Scottsdale office has never been stellar in these areas, so I was disappointed to learn last week that Kayla had to cancel her trip to Scottsdale and, also disappointed that the future plans for this pilot program have not been communicated (brief postponement or scrapped program?)

Coincidentally, there was an interesting broadcast on the radio this morning; thinking of 9-box for instance, the first speaker Margaret Heffernan on the power of social capital in the workplace caught my attention:,culture
"It's been a rough time with my manager. I certainly don't feel supported, as I often feel that I need to defend and protect myself.",do not feel suported
"I get less and less time with my direct reports, and feel like my opinion (especially in hiring) is less and less valued. As a founding member, its really a low blow to myself from the company I have put my heart and grit into for 2.5 years.",feels undervalued
It's a work in progress through our one on ones.,getting better
Getting better,getting better
Feeling better about this.,getting better
"I can see some improvements, so that makes me feel much better and listened to",getting better
Happy about the new managerial structure of the creative department. I am exited to see how it pans out (and whether the reviews do indeed happen on schedule.),getting better
There's been a lot of change recently so inter action with my direct manager has been hit or miss. but the future looks promising.,getting better
I'm aware things are being done to address this so looking forward to making this 5,getting better
I think we have rolled out a better way of measuring goals for campaigns.,getting better
Recently my manager requested feedback on their communication practices. Since this feedback was collected I feel that they are making more efforts to improve communication for the team. I hope that it continues to improve.,getting better
The offsite will help,getting better
These last few days we can feel that there are some changes,getting better
"This has improved a lot over the past week. My manager has been in contact a lot more (phone calls, responding to emails) and it's helped me make progress on projects and time sensitive tasks.",getting better
"New manager is doing good, much better than previous, but he still needs to push harder so people above can hear and solve my needs",getting better
I feel that everybody is doing effort for a better wellbeing in our team and is willing to do some nice improvement and I appreciate that. I feel more listened.,getting better
"Again, my direct manager is very good at what he does, advocating for me and the rest of my team, providing us with the necessary tools to do our tasks. However, if my daily tasks do not align with the company's goals or are halted by changing company directive, the work that I contribute on a daily basis is for moot—from where do I draw a sense of accomplishment?",happy with manager
My manager is providing clearer instruction and expectations for me.,happy with manager
She is a star! Trying to give us as many updates as possible.,happy with manager
My manager gives the necessary support to do my job at the highest level.,happy with manager
My manager is great.,happy with manager
I love and respect my leader! It's a privilege to work with him.,happy with manager
"Really appreciate the support when I want to challenge and propose ""simpler is better"" architecture",happy with manager
"My manager takes an active role in helping me resolve any issues that I bring to his attention. As far as my professional history goes, this has been my best experience with direct management.",happy with manager
"My manager's door is always open, and we meet at least once each day to discuss tasks and goals.",happy with manager
"Paul's been doing great, esp. of late.",happy with manager
"Pete has shown a lot of resilience through a difficult time and showed his support for me and recognition of my tenure at F#, which I really appreciated.",happy with manager
Both Scott and Julian are incredibly responsive and helpful at all times. I feel lucky.,happy with manager
Janae is the best. Seriously.,happy with manager
My manager supports me in my work and is willing to help out as needed.,happy with manager
He has given me good directions and best practices when I supported a different team ECOMHRT for business disruption emergency.,happy with manager
Great support from my direct managers!,happy with manager
Great management thanks to Butterfly!,happy with manager
We are a new department team and there has been a lot of learning on the fly.  This poses certain challenges and unique opportunities.  My direct manager is an amazing individual which makes wanting to contribut and win that much more important.,happy with manager
We're lucky to have Sylvain. Without his hard work and continuous efforts to protect the team I would have slammed  the door and left.,happy with manager
My manager supports me and tries to alleviate my fears about coworkers leaving and the future tentative plans for the company.,happy with manager
"Yes, but despite attempts at advance planning, it's not enforced and things get chaotic",manager not organized
Need to improve on project and resource planning. Task assignment cannot be changed daily.,manager not organized
"This week again, all team meetings were canceled by the manager. Usually it happens 5 minutes before the meeting. But I could get some rapid feedback on some tasks for which I need external perspective. As it is quite unusual, I guess I should retain only that positive fact.",manager not organized
"He gives us lectures about how we should inform him about everything we do and says he prefers ""over communication.""He is also the ultimate definition of micromanager, similar to Bill Lumbergh out of Office Space. Two months ago, he was furious when one of our colleagues worked from home and didn't tell him and told the team instead. He told us that it makes us look terrible when we all do not know where we all are. Which I think is a fair thing to ask. However, today for example he took off without letting us know that he is OOO. He simply could have sent us a quick calendar invite. He is not living what he is preaching.",micromanaged
"In the last couple of weeks, along with the new schedule, I have noticed increased management supervision of tasks and work related items.
Although this may be good in some ways, it gives the employee the sense that he is being micro-managed at times (although that may not be the intention of the manager).",micromanaged
We are NOT empowered to make decisions and be leaders. This is probably the least empowering team I've been a part of in a long time,micromanaged
"More pro-active attitude from manager in order to tackle some pending issues, would help",more action from manager
"I appreciate the question, but it seems almost offensive.  A lot of us in Talent Acquisition do not have a direct manager right now.  While I understand that's often a part of #startuplife, and having to navigate ambiguity, it's becoming very tiring not having any sense of clear objectives (let alone necessary support!).",no manager
no manager = can't agree or disagree,no manager
don't have a direct manager,no manager
Don't have a direct manager as of yet,no manager
"In the absence of a direct manager, Caralyn and Kristin have given our team adequate support and updates.

But we need to make hiring a Head of Talent Acquisition the #1 priority for all of us - arguably before a CPO hire. Strategically, the Talent teams have things under control, and we're moving forward, but TA is hobbling along. Only a leader will provide the strategic direction, support and coaching necessary for each individual.

Also, thinking through the next promotion process, only a TA Leader will be able to have a direct line of sight into each individual's performance, key performance objectives, and what it takes to get promoted. General consensus is that the team is concerned about this lack of insight into each individual's performance and growth plans.",no manager
no boss no gloss,no manager
I have no manager,no manager
I would like to have a manager,no manager
My reporting structure is ... interesting. (This is Paul Hamingson),org issues
"As a recruiter, being managed by your business partner is less than ideal. He is unfamiliar with the recruiting space and is not open to our ideas and input.",org issues
"My direct manager does the best he can with what he is given, and he tries to take good care of those under him; however, his reach only extends so far. The true matters which require attention need to be fixed across the board.",spread too thin
"I think he might be too overwhelmed with work, but I feel left out.",spread too thin
"Scheduling and availability can sometimes be a challenge as expected, but I feel like I am able to get the necessary support when absolutely required.  I just try to filter and limit the escalations to only the urgent ones.",spread too thin
people are too busy,spread too thin
"My direct manager is busy with a bunch of stuff. Sometimes I feel like the only person here, but not actually in charge of the team.",spread too thin
"My direct manager does gives me the necessary support and clear objectives but it seems that his objectives are moving all the time. He doing a great job on ""buffering"" that and try to isolate us from it but eventually it impacts the mood of the team",spread too thin
My manager's communication style lacks transparency into what he is doing and expects us to be doing.,transparancy
Some of the mis-communciation is caused by a lack of information from management-level,transparancy
Team updates are not transparent enough. Need to dig for more info so others can make informed decisions. Attitude should help team feel confident in the info presented as valid and thorough.,transparancy
I think I need more transparency when we are briefed,transparancy
"Feedback on work can sometimes be unclear or contradictory, and it creates extra work because we have to re-do things many times.",unclear feedback
I don't feel like I get feedback on how I am doing very often.,unclear feedback
I'd like some feedback on how i'm doing and what I need to improve more.,unclear feedback
"I think it's all up in the air right now, so no clear objectives.",unclear objectives
"This is not really my manager's fault, but we seem to change direction constantly, so it's hard to define clear objectives.",unclear objectives
"Right now, it doesn't sound like anyone knows what's going on or what is to come.",unclear objectives
"1) H2 priority has not been set and 2) we are understaffed (particularly in QA). Objectives, deliverables, and expectations of any sort have proven difficult to reasonably define without first addressing the problems listed above.",unclear objectives
Not always clear but I ask a lot of questions so I can figure it out,unclear objectives
Not sure where to go,unclear objectives
Not sure who my direct manager is anymore.,unclear objectives
"Support: yes, clear objectives: no",unclear objectives
It is not clear what is expected from me,unclear objectives
More clear would be better,unclear objectives
"Since this happiness survey started, my manager is constantly pinging our team -- ""how is everything going?"" But when we ask him a question, then he throws back the same question at us. I can say, it is not very clear in terms of objectives.",unclear objectives
I don't have clear what are going to be my temporary responsibilities,unclear objectives
This week my objectives have been shifting.,unclear objectives
I need to follow up with my manager about an action plan next week so that we can be clear on the objectives.,unclear objectives
Clarify objectives.,unclear objectives
"Maybe having objectives, knowing what is expected might help me. Not just feel better, but be able to improve more easily.",unclear objectives
Support is great. Objectives of each team member are not clearly defined however...,unclear objectives
"My role is a bit unclear right now and there are a lot of moving parts so this one is tough. I think my manager is fantastic in general, but the things I'm working on and will be working on aren't as aligned with the team overall as they were before, and we've discussed that sometimes it's hard for my manager to be fully in the loop on my day to day tasks.",unclear objectives
There were no clear objectives Briefing for the pitch on the RBFA,unclear objectives
objectives aren't really provided and not followed throughout the year,unclear objectives
Waiting on the dev career path plan before setting objectives I believe.,unclear objectives
In the middle of moving managers.  Not very clear right now.,unclear objectives
"He's unclear at best. Sometimes he just shows he does not trust you at all, what makes you wonder what your role really is.","unclear objectives, trust"
"My manager should be setting up one-on-one meetings so that he gets to know more about my roles and responsibility.

I have been working with separately from my manager's team and I get more directions from a VP than him.","unclear objectives, wants evaluation "
I think we can be better in setting objectives and support,"unclear objectives, wants support"
no evaluation :(,wants evaluation
no evaluation,wants evaluation
Couple of 1:1s have been canceled in the last couple of weeks.,wants evaluation
still no evalutaion,wants evaluation
I never have one on one with my manager i haven't met him since several month.,wants evaluation
"I would appreciate one on one's with clear feedback about my work, my growth, and career trajectory.",wants evaluation
For the last 30 months I don't have 1:1 meetings with my direct manager,wants evaluation
Poorly timed vacations leaves little to no support or direction,wants support
I sure can't change the things I need to. Maybe my manager can help.,wants support
"Sometimes I feel overwhelmed and when I speak to my manger about it, they want to help me with managing my time. Yet, what I really need is additional people to take some of the load",wants support
"objective yes, support no..",wants support
Sometimes I feel the encouragement to lead projects is not there.,wants support
"Currently, I do not feel that he is supporting my decision and what I want. More and more, I am getting the feeling that  I am just a metric.",wants support
It's been better in the past. Lately I feel like I've had less time and less guidance with my managers. They are aware of this and it's improving.,wants support
The rating is based on support: I would like stress beyond just timelines to be smoothed out (like more ego's put in check or feedback when expectations are realigned). A clear and stern communication to higher ups that we need way more resources to support our clients. Helping to deliver on the massive amount of deliverables. It feels that it's all pushed down to deliver and not a lot of delivery from our manager.,"wants support, communication"
"Although I have managed to largely succeed without formal PMO training or access to best practices and or organizational process assets, some form of confirmed expectations and proactive leadership would be appreciated.

Caveat: I understand that the resent Mobile Redesign and the hiring firing of numerous Product Leaders hasn't yielded the most productive or predictive environment for any of us and I expect management support and direction will become clearer as we grow into our new structure.",wants training
Lack of face time to be taught fundamentals,wants training
We really need more guidance & leadership in my opinion. I also wish there was more consideration for our career growth.,wants training
