"In sales, many things are repetitive because we do the same demo and calls everyday. It does get boring at times, because it's not challenging or creative.",boring
"I am pretty underwhelmed and almost bored by my teams goals this quarter, and am feeling really un-motivated these past few weeks.",boring
"The continued lack of communication from Product Leadership (going on a few months now) has kept morale very low amongst myself and immediate co-workers. When the new product leadership came on board, they went through the same motions of ""communication will be great!"" etc, but that has proven to be a hollow promise. The hushed introduction of Lanes has caused lots of confusion and distress, and yet there is still no scheduled announcement. Some of us had expressed tentative interest in working in specific lanes, but at the time there wasn't any context provided (either in terms of H2 priorities, which unbelievably have yet to be shared, or the actual work that would happen in each lane), and it wasn't presented as being a ""final decision"", which is what it seems to be now.",communication issues
"i feel very siloed disconnected in the sales role. i know people have found roles where they meet with other teams in the company, so i'd love the opportunity to take a role like this on.",communication issues
"Need more clarity for procedures in HR with how expect things to be done. Also, all sites need to be on same page with how do HR procedures and practices. Mixed communication constantly and then signals to OPS FC's that HR doesn't have it together.",communication issues
I went back and forth with whether I should rate this as a 3 or 4.  The reason being is that there seemed to a breakdown in how particular aspects of the roles and seponsibilities were communicated.  I decided to rate at 4 because I genuinely believe that my direct managers are willing to work to shore up some of the misinformation and some of the details that were omitted in the early going.,communication issues
"Seems like a lot of pressure is put on this team that could be placed somewhere else. When a new project comes in, it's always the same: Project XYZ wants a feature that we don't have, then we are warned that we are a blocked for them, focus changes so we can deliver that feature and eventually we learn that they wont uses the feature or that it wasn't high priority after all or that there part isn't working.
It impacts the quality of the overall architecture.",communication issues
"This last week I was assigned to create several development packages, which is my least favorite part of the job. I understand that it's necessary, but I think the process could be improved by using alternative software and procedures.",different tools and proceedures
"There is not a very even division of work, and no points or anything to track who's doing the work",division of work
I feel like all my capabilities are not used at its best,feels underutilized
"I would like more responsibilities and new projects, have asked for them, and will be meeting to discuss with my manager shortly.",feels underutilized
"Need some help from mature, dynamic, and smart people.",looking for help
"My role and responsibilities is good. However, I am not sure my direct manager knows my role and responsibilities as much as I do since he barely shows up or even knows what's going on in our team.",management
"I wonder as a manager of a team, how can an other manager can suggest decide to split my team, to remove steal product from my team without my consent. I also heard he told people I was on board with that, which is totally false.",management
Too much admin.,micromanaged
"With recent leadership changes, it feels like we are being micromanaged and treated like uneducated, inexperienced children",micromanaged
"No decision-making ability, No support for growth & development and every project I work on is micromanaged.",micromanaged
This whole lanes sub-lines reorg is a bit concerning. I'll continue voicing my opinions and suggestions and hope it's not another misguided blunder like the last SEVERAL reorgs.,org issues
It's not 100% clear for the moment due to changes in the organisation,org issues
feel like I'm doing the jobs of 6 people,pay does not equal role
"I'm currently happy with my role and my responsibilities, but I also feel like i'm operating above my pay grade and under a true lack of trust respect from people in other offices.",pay does not equal role
Many people have quit recently and workloads keep increasing without increased wages or bonus.,pay does not equal role
I don't feel like I am recognized for the contributions I make and that I am not compensated adequately for the roles and responsibilities I have taken on.,pay does not equal role
Updating title pay scale to reflect work done ongoing results given to to the company. Hasn't changed in 6 years. A fair and reasonable request given body of work.,pay does not equal role
I do a lot of management things but don't have a management title or salary. And no possibility of promotion. This is a nice job but a dead-end.,pay does not equal role
Not yet. Still doing too much of the AM work without any reward.,pay does not equal role
"I've been technical leading the team internally for years (despite not being my role) and this hasn't been compen$ated all, no salary increase in more than 5 years of service",pay does not equal role
"This week has seen a rare spike in satisfaction in this category. I was given the opportunity to learn and explore, and for the first time in my year with the company, I was excited about what I do and the possibilities that the future holds.",positive view
Can't wait to be fully ramped up in my OM position,positive view
I am enjoying the opportunity to tackle big picture issues.,positive view
Love the direction my role is taking.,positive view
Our management has done a good job in providing training and involving the team in architectural decisions for our new cloud technologies.  I plan to take on a bigger role in these areas.,positive view
Loved having a couple meetings this week that were more strategic focused!,positive view
Back-up + multibrand support: variety in work this week. Great!,positive view
This week I am fully concentrated on something that is officially the core of my role. Good.,positive view
No complaints.  It's getting better.,positive view
"Spent a really nice week working for nice people, got a lot of recognition",positive view
I feel challenged and trusted by my boss.,positive view
"I feel soooo bad because we're working so hard keeping production up and running and maintaining 99.99% SLAs.We're taking no shortcuts on quality and definition of done and the reward is giving the fun stuff to EPAM or other teams. I know time to market is everything but let's not forget who is up all night making sure we make money.

I'm wondering if there is still a place for me @TM .... maybe I care too much about this company ? I could stop doing what I think is best for TM and think only about what's best for me .... but that's not how I am.",recognition
Would like to get more into Product and out of production.,role change
Still feel a bit overwhelmed with production execution and know I need to move more into strategy and organization.,role change
Would Like to have more of a role in AWS?,role change
You cannot expect front end guy working 100% on backend or backend guy working 100% on front end. People can excel only if he works in which he is interested and where he wants to grow.,role change
"I do understand that there is a company goal, but what happens when I want something else? I've been told from several people the past couple days that I need to put the  ""company first"" but I thought our most important core value was that ""people come first."" I have tried to get out of the sales team several times, but wasn't accepted into these other roles because I wasn't good enough (I have also heard that I wasn't ""extraordinary enough"" for one specific role). Irregardless of the few rejections, I put my ego down and worked my ass off, and proven that I am much more than good enough, but I am still not able to go for what I want.  How much more do I have to do to prove that I am good enough to work hard in anything and everything I do?",role change
Would like a responsibilities change.,role change
Currently being defined so hard to answer,role not well defined
"At the start of the 2016 things seemed to be going in a decent direction, but now it is unclear to a lot of us here why the TMS team even exists.",role not well defined
